uid,max_distance_from_home,maximum_distance,max_tot,wait,distance_straight_line,sld_avg,radius_of_gyration,norm_uncorrelated_entropy,number_of_visits,nv_avg,number_of_locations,nlr,raw_home_freq,raw_work_freq,raw_least_freq,home_freq_avg,work_freq_avg,hf_tot_df,wf_tot_df,n_user_home,n_user_work,n_user_home_avg,n_user_work_avg,home_entropy,work_entropy,class
7903,2.2295433964311164,2.2295433964311164,0.0678388208940151,0.0,2.8013492456925597,0.09337830818975199,1.0054877364788146,0.9463946303571862,4,0.13333333333333333,3,0.001323918799646955,2,1,1,0.1,0.03333333333333333,0.0014326647564469914,0.0004830917874396135,48,116,0.00520171078488036,0.011790544445728817,5.158418145910098,5.466072182311141,3
7993,1.5044298075722768,1.0342651651068737,0.03146981996623896,0.0,3.9273797973060294,0.13091265991020098,0.6602938589407257,0.8763576394898526,9,0.3,4,0.00176522506619594,4,3,1,0.03333333333333333,0.1,0.0057306590257879654,0.000966183574879227,79,171,0.00520171078488036,0.011790544445728817,5.000063313215951,6.488124275828649,4
8108,1.7227735713293717,1.7227735713293717,0.052419220874298345,0.0,1.7227735713293717,0.05742578571097905,0.642039802556336,0.6500224216483541,6,0.2,2,0.00088261253309797,5,1,1,0.06666666666666667,0.03333333333333333,0.0014326647564469914,0.0004830917874396135,26,21,0.00520171078488036,0.011790544445728817,3.3319947715897436,3.179740222965797,4
11914,12.33271668884943,12.33271668884943,0.37525035840554277,0.0,962.6299246048544,32.08766415349515,4.163167855334299,0.6573482607428092,163,5.433333333333334,21,0.009267431597528684,57,46,1,0.13333333333333333,1.5333333333333334,0.0028653295128939827,0.0004830917874396135,32,6,0.00520171078488036,0.011790544445728817,3.578808839655475,1.3378883179397005,5
11975,3.3481283012433845,3.3481283012433845,0.1018742566400862,0.0,6.696256602486769,0.22320855341622564,1.052215214084674,0.5032583347756457,9,0.3,2,0.00088261253309797,8,1,1,0.16666666666666666,0.03333333333333333,0.0014326647564469914,0.0004830917874396135,7,305,0.00520171078488036,0.011790544445728817,2.350209029099897,7.484909577655798,5
12989,4.149054355402215,4.149054355402215,0.12624421473303235,0.0,18.871720433899213,0.6290573477966405,1.8125077629923805,0.9335100357365149,11,0.36666666666666664,6,0.00264783759929391,3,3,1,1.9,0.1,0.0014326647564469914,0.001932367149758454,141,82,0.00520171078488036,0.011790544445728817,6.333010044407298,5.199142253173891,5
13443,3.7991327721635217,5.8500691178160755,0.17800137541005026,0.0,90.84194017085571,3.028064672361857,1.8519169291381208,0.7014713755958535,53,1.7666666666666666,12,0.00529567519858782,27,7,1,0.26666666666666666,0.23333333333333334,0.0014326647564469914,0.003381642512077295,91,94,0.00520171078488036,0.011790544445728817,5.2934313513791595,5.5797642958561955,5
13512,2.632418202250981,2.632418202250981,0.08009718367738752,0.0,10.943518719111317,0.36478395730371055,0.7446368901906636,0.34941360927609805,26,0.8666666666666667,4,0.00176522506619594,23,1,1,0.1,0.03333333333333333,0.02865329512893983,0.0014492753623188406,34,11,0.0025430586059415096,0.011790544445728817,3.0702704582013287,1.9595059713141072,5
13542,3.9377917785677305,3.9377917785677305,0.11981608055344027,0.0,57.391610298687354,1.9130536766229118,1.2620671290683185,0.8350264837928848,55,1.8333333333333333,17,0.007502206531332745,15,9,1,0.9,0.3,0.0028653295128939827,0.000966183574879227,89,339,0.0025430586059415096,0.011790544445728817,4.9682884363042765,6.934378976513083,5
13569,18.315434705219747,18.315434705219747,0.5572878718361465,0.0,66.32000075816529,2.210666691938843,4.187732655955062,0.9595018345628947,20,0.6666666666666666,17,0.007502206531332745,4,1,1,0.7666666666666667,0.03333333333333333,0.004297994269340974,0.0004830917874396135,9,40,0.0025430586059415096,0.011790544445728817,2.5637169871277963,4.028247596048836,5
